k,max nDCG,max F-scores
20,0.24711311339570657,0.1919766292537551
40,0.31879558850634754,0.23953100532672825
60,0.37425129871926105,0.2732720345626024
80,0.4112593516887745,0.28677916964203903
100,0.4347864542196586,0.29993052894841626
120,0.460065667138253,0.3152095138368925
140,0.4633173183506985,0.3126780048599811
160,0.47024338183297043,0.3171864665983277
180,0.4736281298599288,0.318455452285211
200,0.4755466530645957,0.3209719923460436
220,0.475745816848146,0.32019767039064745
240,0.47619359651143195,0.3231996288666519
260,0.48058053588633964,0.3254991195314616
280,0.4811793252124613,0.3233598643370323
300,0.48031127465733947,0.32292459270705826
320,0.4788603193180856,0.3210526095712032
340,0.48054123404396687,0.32198320886047893
360,0.48032191681217173,0.3214167389298505
380,0.48379277533921344,0.32006674259466683
400,0.4843550751299641,0.32047035858651807
420,0.4858787657081364,0.31984871733742587
440,0.48384860031161353,0.31808848758896086
460,0.48191198557286563,0.31795874316477674
480,0.4828172431998698,0.31863325383928737
500,0.48508588568918337,0.31840824388309463
520,0.4849225152414442,0.3185796799931108
540,0.48153222007609037,0.3180800323539283
560,0.4814806125277905,0.3186091024141574
580,0.48304816569979014,0.31952344727255877
600,0.4799819539606113,0.31886836167341664
620,0.47710592060911206,0.31606899414627904
640,0.47563011655819953,0.3148094708083243
660,0.47338120581794524,0.31354502428897585
680,0.47301256022877025,0.3118854122960305
700,0.4726967261805908,0.31239072113893523
720,0.4729753618380801,0.31160495828218093
740,0.4752160306131309,0.31403814778636185
760,0.47478390748198335,0.31446894700663475
780,0.4748125593416087,0.31444555519376927
800,0.47520081243637863,0.314736864274552
820,0.4748613130399505,0.3147705343082221
840,0.4741850695550534,0.31343998700512576
860,0.4741829813758453,0.3139078232624357
880,0.4741230106953347,0.31394486029947277
900,0.47499648368301983,0.3135004158550283
920,0.4755574706996575,0.31373745289206534
940,0.47537779731894897,0.31389288979349766
960,0.4755883597680871,0.3132993062433924
980,0.4759553427720584,0.3132993062433924
1000,0.47523037877715946,0.31224406284931466
1020,0.4752269762522406,0.312855827555197
1040,0.47671279159753704,0.3132052639481116
1060,0.47826330490546015,0.31369909110860544
1080,0.47816614535219093,0.3139530593625737
1100,0.47761323959342994,0.3134592322020799
1120,0.4765519823051732,0.3123370749571156
1140,0.4762333630095202,0.3123988033521774
1160,0.47568280869960644,0.31171849146133923
1180,0.47518771326874026,0.3111235663904169
1200,0.4757235017306331,0.31140668798751303
1220,0.47598964443830166,0.31111039169121674
1240,0.4771744614086108,0.3121724666316542
1260,0.4743552548886908,0.3117181456439999
1280,0.475034405121786,0.31166523559108983
1300,0.47467804573962963,0.3122578281836825
1320,0.47483659682754986,0.3122578281836825
1340,0.4737683256357835,0.31108024033942794
1360,0.4739401564528835,0.31143579589498344
1380,0.47525078049360797,0.31223066768985525
